Player,Age,Tm,G,MP,TRB,AST,STL,BLK,PTS,FGA,FG%,3PA,3P%,eFG%,FT%,TOV,PF,PER,TS%,USG%,VORP,WS,TRB%,AST%,STL%,BLK%,TOV%,WS/48,BPM,Year,box,Share_mvp,Rank_mvp,got_votes_mvp,is_mvp,gp_pct
Stephen Curry,27,GSW,79,34.200,5.400,6.700,2.100,0.200,30.100,20.200,0.504,11.200,0.454,0.630,0.908,3.300,2.000,31.500,0.669,32.600,9.500,17.900,8.600,33.700,3.000,0.400,12.900,0.318,11.900,2016,14.400,1.000,1.000,1,1,0.963
LeBron James,28,MIA,76,37.900,8.000,7.300,1.700,0.900,26.800,17.800,0.565,3.300,0.406,0.603,0.753,3.000,1.400,31.600,0.640,30.200,9.900,19.300,13.100,36.400,2.400,1.900,12.400,0.322,11.700,2013,17.900,0.998,1.000,1,1,0.927
Shaquille O'Neal,27,LAL,79,40.000,13.600,3.800,0.500,3.000,29.700,21.100,0.574,0.000,0.000,0.574,0.524,2.800,3.200,30.600,0.578,31.200,8.682,17.944,18.300,19.300,0.600,5.300,9.900,0.283,9.300,2000,20.900,0.998,1.000,1,1,0.963
Kevin Garnett,27,MIN,82,39.400,13.900,5.000,1.500,2.200,24.200,19.600,0.499,0.500,0.256,0.502,0.791,2.600,2.500,29.400,0.547,29.600,9.647,17.654,20.100,24.400,2.000,4.000,10.500,0.272,10.200,2004,22.600,0.991,1.000,1,1,1.000
Kevin Durant,25,OKC,81,38.500,7.400,5.500,1.300,0.700,32.000,20.800,0.503,6.100,0.391,0.560,0.873,3.500,2.100,29.800,0.635,33.000,9.484,18.969,10.800,26.700,1.700,1.500,12.200,0.295,10.200,2014,14.900,0.986,1.000,1,1,0.988
Michael Jordan,32,CHI,82,37.700,6.600,4.300,2.200,0.500,30.400,22.600,0.495,3.200,0.427,0.525,0.834,2.400,2.400,29.400,0.582,33.300,9.682,20.154,10.200,21.200,3.100,1.000,8.400,0.317,10.500,1996,13.600,0.986,1.000,1,1,1.000
LeBron James,25,CLE,76,39.000,7.300,8.600,1.600,1.000,29.700,20.100,0.503,5.100,0.333,0.545,0.767,3.400,1.600,31.100,0.604,33.500,10.300,18.500,11.100,41.800,2.200,2.000,12.300,0.299,11.800,2010,18.500,0.980,1.000,1,1,0.927
Derrick Rose,22,CHI,81,37.400,4.100,7.700,1.000,0.600,25.000,19.700,0.445,4.800,0.332,0.485,0.858,3.400,1.700,23.500,0.550,32.200,6.619,12.942,6.400,38.700,1.500,1.300,13.100,0.208,6.800,2011,13.400,0.977,1.000,1,1,0.988
LeBron James,24,CLE,81,37.700,7.600,7.200,1.700,1.100,28.400,19.900,0.489,4.700,0.344,0.530,0.780,3.000,1.700,31.700,0.591,33.800,11.800,20.300,11.900,38.000,2.400,2.400,11.000,0.318,13.200,2009,17.600,0.969,1.000,1,1,0.988
James Harden,28,HOU,72,35.400,5.400,8.800,1.800,0.700,30.400,20.100,0.449,10.000,0.367,0.541,0.858,4.400,2.300,29.800,0.619,36.100,7.700,15.400,8.600,45.100,2.400,1.700,15.100,0.289,9.900,2018,16.700,0.955,1.000,1,1,0.878
Michael Jordan,28,CHI,80,38.800,6.400,6.100,2.300,0.900,30.100,22.700,0.519,1.300,0.270,0.526,0.832,2.500,2.500,27.700,0.579,31.700,8.981,17.279,9.500,25.700,3.000,1.500,8.800,0.274,9.700,1992,15.700,0.938,1.000,1,1,0.976
Michael Jordan,34,CHI,82,38.800,5.800,3.500,1.700,0.500,28.700,23.100,0.465,1.500,0.238,0.473,0.784,2.300,1.800,25.200,0.533,33.700,7.100,15.800,8.500,18.000,2.400,1.000,7.700,0.238,6.900,1998,11.500,0.934,1.000,1,1,1.000
Giannis Antetokounmpo,24,MIL,72,32.800,12.500,5.900,1.300,1.500,27.700,17.300,0.578,2.800,0.256,0.599,0.729,3.700,3.200,30.900,0.644,32.300,7.400,14.400,19.300,30.300,1.800,3.900,14.800,0.292,10.400,2019,21.200,0.932,1.000,1,1,0.878
Michael Jordan,27,CHI,82,37.000,6.000,5.500,2.700,1.000,31.500,22.400,0.539,1.100,0.312,0.547,0.851,2.500,2.800,31.600,0.605,32.900,10.800,20.300,9.500,25.200,3.700,1.700,8.700,0.321,12.000,1991,15.200,0.928,1.000,1,1,1.000
Stephen Curry,26,GSW,80,32.700,4.300,7.700,2.000,0.200,23.800,16.800,0.487,8.100,0.443,0.594,0.914,3.100,2.000,28.000,0.638,28.900,7.805,15.511,7.000,38.600,3.000,0.500,14.300,0.288,9.900,2015,14.200,0.922,1.000,1,1,0.976
Allen Iverson,25,PHI,71,42.000,3.800,4.600,2.500,0.300,31.100,25.500,0.420,4.300,0.320,0.447,0.814,3.300,2.100,24.000,0.518,35.900,6.027,11.658,5.200,23.000,3.200,0.500,10.000,0.190,6.100,2001,11.200,0.904,1.000,1,1,0.866
LeBron James,27,MIA,62,37.500,7.900,6.200,1.900,0.800,27.100,18.900,0.531,2.400,0.362,0.554,0.771,3.400,1.500,30.700,0.605,32.000,9.442,18.015,12.600,33.600,2.600,1.700,13.300,0.298,10.900,2012,16.800,0.888,1.000,1,1,0.756
Dirk Nowitzki,28,DAL,78,36.200,8.900,3.400,0.700,0.800,24.600,17.200,0.502,2.200,0.416,0.529,0.904,2.100,2.200,27.600,0.605,28.900,7.400,16.300,14.800,17.800,1.000,1.700,9.500,0.278,8.300,2007,13.800,0.882,1.000,1,1,0.951
Hakeem Olajuwon,31,HOU,80,41.000,11.900,3.600,1.600,3.700,27.300,21.200,0.528,0.200,0.421,0.530,0.716,3.400,3.600,25.300,0.565,29.800,7.300,14.300,16.200,16.400,2.000,5.700,12.300,0.210,6.800,1994,20.800,0.880,1.000,1,1,0.976
Russell Westbrook,28,OKC,81,34.600,10.700,10.400,1.600,0.400,31.600,24.000,0.425,7.200,0.343,0.476,0.845,5.400,2.300,30.600,0.554,41.700,9.300,13.100,17.100,57.300,2.300,0.900,15.900,0.224,11.100,2017,23.100,0.879,1.000,1,1,0.988
Kobe Bryant,29,LAL,82,38.900,6.300,5.400,1.800,0.500,28.300,20.600,0.459,5.100,0.361,0.503,0.840,3.100,2.800,24.200,0.576,31.400,6.300,13.800,9.000,23.900,2.400,0.900,11.300,0.208,5.800,2008,14.000,0.873,1.000,1,1,1.000
David Robinson,29,SAS,81,38.000,10.800,2.900,1.700,3.200,27.600,18.400,0.530,0.200,0.300,0.532,0.774,2.900,2.800,29.100,0.602,29.900,8.700,17.500,16.200,13.700,2.200,5.900,11.100,0.273,9.200,1995,18.600,0.858,1.000,1,1,0.988
Karl Malone,33,UTA,82,36.600,9.900,4.500,1.400,0.600,27.400,19.200,0.550,0.200,0.000,0.550,0.755,2.800,2.600,28.900,0.600,32.700,7.706,16.499,16.800,24.500,2.000,1.300,11.100,0.268,8.300,1997,16.400,0.857,1.000,1,1,1.000
Charles Barkley,29,PHO,76,37.600,12.200,5.100,1.600,1.000,25.600,18.100,0.520,2.900,0.305,0.545,0.765,3.100,2.600,25.900,0.596,26.900,7.014,14.227,18.100,21.200,2.000,1.600,12.500,0.242,7.800,1993,19.900,0.852,1.000,1,1,0.927
Steve Nash,30,PHO,75,34.300,3.300,11.500,1.000,0.100,15.500,11.400,0.502,2.900,0.431,0.557,0.887,3.300,1.800,22.000,0.606,20.500,4.295,10.640,5.200,49.200,1.400,0.200,20.300,0.203,4.700,2005,15.900,0.839,1.000,1,1,0.915
