"Rk","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"1","Zaid Abdul-Aziz","C","28","HOU","65","1450","17.1",".501",".377","11.8","25.8","18.8","8.2","1.2","2.8","1.9","1.8","3.7",".124","0.8","-0.5","0.4","0.9"
"2","Kareem Abdul-Jabbar*","C","27","MIL","65","2747","26.4",".550",".269","7.6","26.4","17.3","16.7","1.1","4.0","8.1","4.8","12.9",".225","5.8","1.8","7.6","6.7"
"3","Don Adams","SF","27","DET","51","1376","8.4",".428",".248","5.1","14.3","9.7","7.3","2.4","0.8","-0.8","1.3","0.5",".017","-3.4","0.7","-2.7","-0.2"
"4","Rick Adelman*","PG","28","TOT","58","1074","11.1",".474",".354","2.3","6.8","4.5","14.7","2.9","0.4","0.2","1.2","1.3",".059","-2.7","1.4","-1.3","0.2"
"4","Rick Adelman*","PG","28","CHI","12","340","11.3",".470",".375","1.9","6.2","4.0","15.4","2.3","0.2","0.1","0.4","0.5",".075","-2.4","0.6","-1.8","0.0"
"4","Rick Adelman*","PG","28","NOJ","28","613","11.2",".473",".371","2.1","7.1","4.5","15.5","3.4","0.5","0.0","0.6","0.6",".047","-2.9","2.0","-0.9","0.2"
"4","Rick Adelman*","PG","28","KCO","18","121","10.0",".497",".179","5.1","6.9","6.0","9.2","2.7","0.4","0.1","0.1","0.2",".077","-2.9","0.9","-2.0","0.0"
"5","Lucius Allen","PG","27","TOT","66","2353","17.5",".483",".262","3.7","7.6","5.7","24.6","2.6","0.6","2.0","1.7","3.6",".074","0.6","-0.2","0.4","1.4"
"5","Lucius Allen","PG","27","MIL","10","342","15.7",".463",".226","2.8","6.5","4.7","23.1","1.9","0.2","0.2","0.2","0.4",".059","-0.2","-1.0","-1.2","0.1"
"5","Lucius Allen","PG","27","LAL","56","2011","17.8",".486",".267","3.9","7.8","5.9","24.9","2.7","0.7","1.8","1.4","3.2",".077","0.7","0.0","0.7","1.4"
"6","Dan Anderson","SG","24","POR","43","453","11.2",".508",".286","1.9","4.6","3.4","23.7","1.6","0.1","0.2","0.2","0.5",".050","-1.6","-0.7","-2.3","0.0"
"7","Tiny Archibald*","PG","26","KCO","82","3244","21.7",".544",".450","1.5","5.6","3.5","29.0","1.7","0.1","9.0","2.2","11.2",".165","3.6","-1.3","2.4","3.6"
"8","Jim Ard","C","26","BOS","59","719","9.5",".384",".244","8.2","19.2","13.8","7.1","0.8","2.3","-0.8","1.1","0.4",".025","-4.2","0.1","-4.0","-0.4"
"9","Dennis Awtrey","C","26","PHO","82","2837","13.5",".501",".270","8.6","17.0","12.8","16.4","1.0","1.0","2.7","2.4","5.2",".087","0.6","0.2","0.8","2.0"
"10","Gus Bailey","SG","23","HOU","47","446","11.4",".423",".325","5.7","14.8","10.3","17.5","1.8","2.0","-0.3","0.4","0.2",".017","-1.5","0.8","-0.8","0.1"
"11","Mike Bantom","SF","23","PHO","82","2239","15.5",".500",".286","9.5","15.9","12.7","10.6","1.3","1.1","2.5","2.1","4.5",".097","0.1","-0.5","-0.5","0.9"
"12","Jim Barnett","SG","30","TOT","73","1776","13.2",".508",".365","3.3","7.0","5.1","14.7","1.2","0.5","1.8","0.8","2.5",".069","-0.6","-1.0","-1.6","0.2"
"12","Jim Barnett","SG","30","NOJ","45","1238","14.6",".521",".392","3.5","6.9","5.2","16.7","1.2","0.7","1.5","0.5","2.1",".080","0.1","-1.0","-0.9","0.4"
"12","Jim Barnett","SG","30","NYK","28","538","9.8",".472",".291","2.9","7.1","4.9","10.1","1.0","0.0","0.2","0.2","0.5",".042","-2.2","-1.0","-3.2","-0.2"
"13","Rick Barry*","SF","30","GSW","80","3235","23.5",".509",".197","2.8","11.0","6.9","24.5","3.1","0.5","8.9","3.7","12.7",".188","4.5","0.4","4.9","5.7"
"14","Butch Beard","PG","27","GSW","82","2521","16.1",".585",".361","4.5","7.8","6.1","17.6","2.3","0.2","5.6","2.0","7.6",".144","0.6","0.3","0.9","1.8"
"15","Zelmo Beaty*","C","35","LAL","69","1213","12.8",".514",".435","7.4","18.3","12.9","8.2","1.7","1.2","1.1","1.2","2.3",".091","-1.1","0.2","-0.9","0.3"
"16","Ron Behagen","PF","24","KCO","81","2205","12.6",".455",".317","6.9","21.0","13.9","10.3","1.3","1.0","-0.5","2.8","2.2",".049","-2.5","-0.3","-2.8","-0.5"
"17","Dennis Bell","SF","23","NYK","52","465","11.2",".396",".199","10.6","13.0","11.8","7.6","2.2","1.0","-0.4","0.5","0.1",".013","-2.0","-0.4","-2.4","0.0"
"18","Walt Bellamy*","C","35","NOJ","1","14","16.4","1.042","1.000","0.0","37.0","17.9","0.0","0.0","0.0","0.0","0.0","0.1",".222","-3.8","0.1","-3.7","0.0"
"19","Leon Benbow","SG","24","CHI","39","252","10.8",".417",".191","5.9","10.0","7.9","15.1","2.1","1.3","-0.2","0.4","0.2",".033","-3.5","0.6","-2.9","0.0"
"20","Henry Bibby","PG","25","TOT","75","1400","14.6",".482",".305","3.4","6.8","5.0","19.8","1.7","0.1","0.7","0.8","1.5",".052","-0.8","-1.0","-1.8","0.1"
"20","Henry Bibby","PG","25","NYK","47","876","14.7",".483",".240","3.4","7.0","5.2","18.5","1.5","0.2","0.6","0.5","1.1",".063","-0.3","-1.0","-1.3","0.1"
"20","Henry Bibby","PG","25","NOJ","28","524","14.4",".481",".425","3.3","6.3","4.8","21.9","2.1","0.0","0.1","0.3","0.4",".035","-1.7","-0.9","-2.6","-0.1"
"21","Dave Bing*","PG","31","DET","79","3222","17.1",".493",".318","3.0","6.8","4.9","28.9","1.7","0.4","4.0","1.3","5.3",".080","1.2","-1.6","-0.4","1.3"
"22","John Block","PF","30","TOT","54","939","17.0",".528",".416","7.7","18.2","13.0","8.6","2.1","1.9","1.4","1.7","3.1",".159","0.3","1.1","1.4","0.8"
